ReefID,ReefName,Longitude,Latitude,Year,AerialScore,DHWytd,Sector
09-245d,U/N Foreshore,142.1654676,-9.934550145,2016,4,9.582157,North
09-246,Mabuiag Reef,142.2201762,-10.00593397,2016,4,8.997746,North
09-249b,U/N Foreshore,142.187549,-9.931314078,2016,4,9.582157,North
09-251j,U/N Reef,142.1749855,-9.93968978,2016,3,9.582157,North
09-252,U/N Island,142.176889,-9.93664407,2016,4,9.582157,North
09-255d,U/N Reef,142.2083741,-9.955489401,2016,4,9.153073,North
09-256b,U/N Reef,142.2106583,-9.945781201,2016,4,9.597098,North
09-258c,U/N Reef,142.213704,-9.965197602,2016,4,9.153073,North
09-258d,U/N Reef,142.216369,-9.972811878,2016,4,9.153073,North
09-258e,U/N Reef,142.2146558,-9.968814383,2016,4,9.153073,North
09-259,Ngie Reef,142.2183122,-9.937153922,2016,4,9.597098,North
09-260a,U/N Reef,142.2367372,-9.977190086,2016,4,9.153073,North
09-270,Numar Reef,142.3604512,-9.6809328,2016,4,8.406446,North
09-279,Anui Reef,142.2753005,-9.916348677,2016,4,9.459805,North
09-279a,Anui Reef,142.2605257,-9.903383089,2016,4,9.459805,North
09-279b,Anui Reef,142.2676116,-9.907755205,2016,4,9.459805,North
09-281,Gariar Reef,142.3223384,-9.885593096,2016,4,8.893019,North
09-283b,U/N Reef,142.3154033,-9.857098955,2016,4,8.893019,North
09-285,Kuradhwa Dhadan Lag,142.3365101,-9.867501578,2016,4,8.893019,North
09-288,Buin Dhadua Lag,142.3562299,-9.859631768,2016,4,8.527793,North
09-289,U/N Reef,142.3470334,-9.837318896,2016,4,8.794229,North
09-290,Kai (Piliu Kuth) Reef,142.4073384,-9.776531396,2016,3,8.034383,North
09-291,Beka Reef,142.3883423,-9.742157511,2016,3,8.729871,North
09-319,Mourilyan Reef,142.6335275,-9.804353424,2016,4,8.12495,North
09-321a,U/N Reef,142.6367993,-9.75973853,2016,4,8.233249,North
09-329,U/N Island,142.7162138,-9.835286417,2016,4,8.860674,North
09-331,Sereu Rock,142.7428637,-9.870532183,2016,4,9.340222,North
09-332e,Yam (Iama) Island Reef,142.7684429,-9.893434496,2016,4,9.489873,North
09-355,Wapa Reef,143.130404,-9.481016,2016,4,9.280328,North
09-356,U/N Reef,143.1536505,-9.552059015,2016,4,8.834931,North
09-357,Mutacomai and Dagagota Reefs,143.197677,-9.285727,2016,4,8.454476,North
09-358a,Kokope Reef,143.196397,-9.355257,2016,4,8.531778,North
09-366,U/N Reef,143.3131916,-9.341446348,2016,3,7.924551,North
09-368,U/N Reef,143.3491634,-9.355145898,2016,3,7.966181,North
09-372,Zagai Island,142.932236,-9.854157,2016,4,8.867446,North
09-376,Dungeness (Jeaka) Reef,142.936186,-9.884068,2016,4,8.867446,North
09-378,Tudu Island,142.97189,-9.803341,2016,4,8.80465,North
09-394,Warrior Reef,143.0928,-9.69028,2016,4,8.501038,North
09-406,Mimi Islet,143.397878,-9.954496,2016,2,4.089676,North
09-407,Aukane Islet,143.3934,-9.86982,2016,3,4.090454,North
09-408,Kabbikane Islet,143.407515,-9.821474,2016,2,4.083065,North
09-409,Masig Island,143.408802,-9.751925,2016,2,4.02448,North
09-410,Keats (Pentrick) Island,143.430602,-9.687788,2016,3,4.15114,North
09-411,U/N Reef,143.4360369,-9.974306691,2016,1,3.627103,North
09-419a,Campbell (Kapker) Island Reef,143.493229,-9.566411,2016,4,4.248187,North
09-423,U/N Reef,143.5140228,-9.551694989,2016,2,3.296463,North
09-424,Stephens (Ugar) Island,143.547044,-9.506308,2016,1,3.735742,North
09-440,Arrel,143.6552803,-9.692167957,2016,0,2.164029,North
09-447,Taiben Reef,143.6862133,-9.68098449,2016,0,2.164029,North
09-449,Kaliko (Calico) Reef,143.6969923,-9.714868015,2016,0,2.163739,North
09-452,Sekmemed,143.7119115,-9.686695196,2016,0,2.013889,North
09-454c,U/N Reef,143.77511,-9.741137264,2016,0,2.016017,North
09-454n,U/N Reef,143.7634506,-9.742802887,2016,0,2.016017,North
09-458,Bodo Reef,143.7855796,-9.740661372,2016,0,2.016017,North
09-459,U/N Reef,143.8010461,-9.740899318,2016,0,2.18552,North
09-468,U/N Reef,143.6017425,-9.819469121,2016,0,3.397099,North
09-470,U/N Reef,143.6238714,-9.820896797,2016,0,3.397099,North
09-472,Tagun Reef,143.6805026,-9.810903061,2016,0,3.119377,North
09-493,Seo Reef,143.7906717,-9.664185495,2016,0,2.037639,North
09-496,Gednur (Patemed) Reef,143.8094694,-9.596132911,2016,1,2.073917,North
09-503b,Kaurdog Reef,143.8549171,-9.579476683,2016,0,2.209427,North
09-513,Big Mary Reef,143.8517286,-9.742564941,2016,0,2.068327,North
09-513a,Big Mary Reef,143.885279,-9.733285043,2016,0,2.068327,North
09-514,Little Mary (Kibimem) Reef,143.8869447,-9.764455982,2016,0,2.2521,North
09-523,Small Wai [Tutubel] Reef,143.8779027,-9.882596221,2016,0,2.624819,North
09-531,Gebar Reef,143.872192,-9.966472221,2016,0,2.25965,North
