Unique ID,Coral species,Phylo ID gene,ITS2 Phylo,Phylotype TT Score (Rk),Colony Number,Sampling Location,Realm (Spalding 2007),Province (Spalding 2007),Ecoregion (Spalding 2007),Depth (m),Min Depth (m),Max Depth (m),Lat,Long,Conditions,Database,Phylotype GenBank  # ,Notes,Phylotype ID Methods,Citation,Phylotype Survey Date,Survey begin mo,Survey begin year,Survey end mo,Survey end year,Symbiodinium in propagules,Mode of larval development,Sexual system,,,,
517,Seriatopora hystrix,ITS2,C3-ff,2.634075212,NA,"Yonge Reef, GBR",Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,27,27,27,-14.6166389,145.6364167,Normal Conditions,SymbioGBR,HM185740,,DGGE of ITS2 & sequencing,Bongaerts 2010 PLoS1 Genetic divergence across habitats in the widespread coral Seriatopora hystrix,,2,2008,2,2008,Yes,brooder,hermaphrodite,,,,
2451,Acropora hyacinthus,ITS2,C101a,4.390125354,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,N_A,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
2656,Platygyra lamellina,ITS2,C101a,4.390125354,NA,Racha,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-5,2,5,7.6101,98.3706,Normal Cond,Geosymbio,N_A,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,No,spawner,hermaphrodite,,,,
9100,Montipora caliculata,ITS2,C110,4.390125354,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,spawner,hermaphrodite,,,,
8242,Montipora peltiformis,ITS2,C110,4.390125354,NA,Zanzibar,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,,1,7,-6.152622,39.13601,Normal Cond,Direct from publication,,,DGGE of ITS2 & sequencing,Chauka 2012 WIndOceaJMarSci Diversity of Symbiodinium in Tanzania,,4,2008,4,2008,Yes,spawner,hermaphrodite,,,,
15427,Pocillopora damicornis,ITS2,C1d-t,4.390125354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,Yes,brooder,hermaphrodite,,,,
9246.1,Pocillopora meandrina,ITS2,C1d-t,4.390125354,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,spawner,hermaphrodite,,,,
9184,Pocillopora verrucosa,ITS2,C1d-t,4.390125354,NA,Similan Islands ,Western Indo-Pacific,Andaman,Andaman Sea Coral Coast,2-12,2,12,8.6525,97.6408,Normal Cond,Geosymbio,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,2/1/07,2,2007,2,2007,Yes,spawner,hermaphrodite,,,,
15469,Montipora aequituberculata,ITS2,C26a,4.390125354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,Yes,spawner,hermaphrodite,,,,
X1,Montipora capricornis,ITS2,C26a,4.390125354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Normal Cond,Original pub,,Held in capticivity at aquarium for up to 18 years,DGGE of ITS2 & sequencing,Smith 2009 JPhycol symbiodinium (dinophyta) diversity and stability in aquarium,<10-2008,NA,NA,NA,NA,Yes,spawner,hermaphrodite,,,,
