observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
159978,1,126,17,Acropora abrotanoides,545,Yapp Island,9.546155,138.136151,783,787,203879,60,Growth rate,38,mm yr^-1,,,127.5,mean,125,range,130,,
159978,1,126,17,Acropora abrotanoides,545,Yapp Island,9.546155,138.136151,783,787,203880,152,Water temperature,52,ºC,,,29.2,raw_value,,,,,
118634,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140128,60,Growth rate,62,mm month^-1,2,Alizarin stain,1.93,mean,0.4,standard_deviation,,20,
118634,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140129,151,Season,10,cat,,,July-August,raw_value,,,,,
118634,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140130,142,Habitat type,10,cat,,,crest,raw_value,,,,,
118634,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140131,143,Water depth,9,m,6,Depth gauge,2,raw_value,,,,,
118634,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140132,144,Wave exposure,10,cat,,,exposed,raw_value,,,,,
118632,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140118,60,Growth rate,62,mm month^-1,2,Alizarin stain,1.82,mean,0.5,standard_deviation,,20,
118632,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140119,151,Season,10,cat,,,July-August,raw_value,,,,,
118632,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140120,142,Habitat type,10,cat,,,flat,raw_value,,,,,
118632,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140121,143,Water depth,9,m,6,Depth gauge,1,raw_value,,,,,
118632,1,9,24,Acropora aspera,441,"North Pari Reef, Pari Island Complex, Java Sea",-5.8515,106.631,347,,140122,144,Wave exposure,10,cat,,,exposed,raw_value,,,,,
118631,1,9,24,Acropora aspera,172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,,140113,60,Growth rate,62,mm month^-1,2,Alizarin stain,5.019,mean,0.612,standard_deviation,,10,Replicates reported as 10-15
118631,1,9,24,Acropora aspera,172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,,140114,127,Calcification rate,75,g month^-1,18,Weight,0.018,mean,0.002,standard_deviation,,10,Replicates reported as 10-15
118631,1,9,24,Acropora aspera,172,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,,140115,143,Water depth,9,m,6,Depth gauge,2,raw_value,,,,,
